epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.823,0.94622,3.34308,1.25286,0.72798,0.67609,0.68761,0.5234,0.77741,1.65458,1.14437,0.000183585,0.000183585,0.000183585
2,212.518,0.88842,1.64859,1.1863,0.8423,0.88805,0.90487,0.66679,0.77937,0.88999,1.13785,0.000364049,0.000364049,0.000364049
3,310.466,0.87556,1.337,1.1593,0.79662,0.86591,0.88461,0.66202,0.79968,0.92499,1.13985,0.000539619,0.000539619,0.000539619
4,403.805,0.87743,1.15663,1.1574,0.75872,0.74873,0.83219,0.62053,0.75928,1.13192,1.1361,0.000533982,0.000533982,0.000533982
5,543.056,0.85454,1.0248,1.13372,0.84689,0.87402,0.90404,0.6766,0.77078,0.80655,1.13386,0.000526643,0.000526643,0.000526643
6,633.704,0.82323,0.93416,1.11808,0.81704,0.82973,0.87842,0.67041,0.74894,0.88631,1.12113,0.000519304,0.000519304,0.000519304
7,726.528,0.81541,0.84078,1.11491,0.86967,0.86212,0.92533,0.72518,0.69682,0.67622,1.09117,0.000511965,0.000511965,0.000511965
8,816.673,0.80019,0.79121,1.10917,0.90645,0.90353,0.94782,0.74526,0.71204,0.57611,1.08395,0.000504626,0.000504626,0.000504626
9,908.466,0.79735,0.75213,1.1048,0.87386,0.87917,0.91978,0.71493,0.72579,0.66334,1.10247,0.000497286,0.000497286,0.000497286
10,995.789,0.77608,0.70038,1.09695,0.88716,0.92395,0.93158,0.724,0.71927,0.56773,1.13084,0.000489947,0.000489947,0.000489947
11,1087.19,0.78107,0.65819,1.09297,0.87955,0.9092,0.92995,0.7404,0.71939,0.58867,1.10778,0.000482608,0.000482608,0.000482608
12,1177.93,0.74221,0.63078,1.07075,0.89709,0.91154,0.93979,0.74871,0.6934,0.55464,1.08445,0.000475269,0.000475269,0.000475269
13,1268.78,0.74053,0.60475,1.069,0.88558,0.88818,0.91951,0.70388,0.78306,0.62847,1.15403,0.00046793,0.00046793,0.00046793
14,1358.32,0.73473,0.60564,1.06996,0.88244,0.89245,0.91797,0.73791,0.68393,0.56699,1.07652,0.00046059,0.00046059,0.00046059
15,1450.97,0.73,0.5702,1.06795,0.8837,0.91101,0.93973,0.73479,0.73725,0.5175,1.12583,0.000453251,0.000453251,0.000453251
16,1540.09,0.70714,0.55464,1.05201,0.90307,0.89074,0.92666,0.7288,0.73485,0.6042,1.12597,0.000445912,0.000445912,0.000445912
17,1629.85,0.71179,0.53512,1.06285,0.87911,0.8469,0.88328,0.69634,0.73201,0.6881,1.13034,0.000438573,0.000438573,0.000438573
